dataset_slug	dataset	seed	config_id	val_rmse	test_rmse	checkpoint_path	n_sources	n_lines	n_molecules	line_embeddings_npy	molecule_embeddings_npy	manifest_json	missing_contexts	missing_perturbations
cigs_mce	CIGS MCE	19	lpm_paper10_morgan_init_learned_finetune_fixmol_cigs_mce_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	0.57905430	0.57490000	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_finetune_fixmol_cigs_mce_seed19_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_ec504948200a6bab/seed_19/checkpoints/best-validation-rmse-epoch0049.ckpt	2	2	11160	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/cigs_mce/line_embeddings.npy	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/cigs_mce/molecule_embeddings.npy	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/cigs_mce/manifest.json	0	0
cigs_tcm	CIGS TCM	37	lpm_paper10_morgan_init_learned_finetune_fixmol_cigs_tcm_seed37_molholdout_h100_2x_bs4096_200epoch_lustre	0.44536818	0.40770000	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_finetune_fixmol_cigs_tcm_seed37_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_4b801b3cff37f0c4/seed_37/checkpoints/best-validation-rmse-epoch0000.ckpt	2	2	1820	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/cigs_tcm/line_embeddings.npy	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/cigs_tcm/molecule_embeddings.npy	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/cigs_tcm/manifest.json	0	0
dilimap_train	dilimap_train	17	lpm_paper10_morgan_init_learned_finetune_fixmol_dilimap_train_seed17_molholdout_h100_1x_bs4096_200epoch_lustre	0.58245309	0.60920000	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_finetune_fixmol_dilimap_train_seed17_molholdout_h100_1x_bs4096_200epoch_lustre/LPM_127b5b71a487cff9/seed_17/checkpoints/best-validation-rmse-epoch0150.ckpt	1	1	250	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/dilimap_train/line_embeddings.npy	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/dilimap_train/molecule_embeddings.npy	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/dilimap_train/manifest.json	0	0
gdpx2	Ginkgo GDPx2	17	lpm_paper10_morgan_init_learned_finetune_fixmol_gdpx2_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	0.55481067	0.43980000	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_finetune_fixmol_gdpx2_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_7e0b5391a8ab0399/seed_17/checkpoints/best-validation-rmse-epoch0063.ckpt	4	4	86	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/gdpx2/line_embeddings.npy	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/gdpx2/molecule_embeddings.npy	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/gdpx2/manifest.json	0	0
lincs_phase1	LINCS_phase1_level3_epsilon	47	lpm_paper10_morgan_init_learned_finetune_fixmol_lincs_phase1_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	0.60602878	0.61990000	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_finetune_fixmol_lincs_phase1_seed47_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_dd47f6170bd65982/seed_47/checkpoints/best-validation-rmse-epoch0020.ckpt	70	70	20162	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/lincs_phase1/line_embeddings.npy	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/lincs_phase1/molecule_embeddings.npy	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/lincs_phase1/manifest.json	0	0
lincs_phase2	LINCS_phase2_level3	19	lpm_paper10_morgan_init_learned_finetune_fixmol_lincs_phase2_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	0.46323436	0.48110000	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_finetune_fixmol_lincs_phase2_seed19_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_41cfc44ccec8c750/seed_19/checkpoints/best-validation-rmse-epoch0033.ckpt	30	30	1791	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/lincs_phase2/line_embeddings.npy	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/lincs_phase2/molecule_embeddings.npy	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/lincs_phase2/manifest.json	0	0
novartis	Novartis MoABox DRUG-seq	43	lpm_paper10_morgan_init_learned_finetune_fixmol_novartis_seed43_molholdout_h100_1x_bs4096_200epoch_lustre	0.67409632	0.53610000	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_finetune_fixmol_novartis_seed43_molholdout_h100_1x_bs4096_200epoch_lustre/LPM_60518a932ebd589b/seed_43/checkpoints/best-validation-rmse-epoch0183.ckpt	1	1	3819	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/novartis/line_embeddings.npy	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/novartis/molecule_embeddings.npy	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/novartis/manifest.json	0	0
op3	op3	19	lpm_paper10_morgan_init_learned_finetune_fixmol_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	0.41023003	0.34160000	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_finetune_fixmol_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_778feb0e1c2011fe/seed_19/checkpoints/best-validation-rmse-epoch0035.ckpt	4	4	105	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/op3/line_embeddings.npy	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/op3/molecule_embeddings.npy	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/op3/manifest.json	0	0
sciplex	srivatsan20_sciplex3	29	lpm_paper10_morgan_init_learned_finetune_fixmol_sciplex_seed29_molholdout_h100_2x_bs4096_200epoch_lustre	0.71183093	0.68760000	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_finetune_fixmol_sciplex_seed29_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_fb0444c9a4ce9b31/seed_29/checkpoints/best-validation-rmse-epoch0044.ckpt	3	3	187	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/sciplex/line_embeddings.npy	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/sciplex/molecule_embeddings.npy	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/sciplex/manifest.json	0	0
tahoe100	tahoe100	43	lpm_paper10_morgan_init_learned_finetune_fixmol_tahoe100_seed43_molholdout_h100_2x_bs4096_200epoch_lustre	0.73680821	0.73470000	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_finetune_fixmol_tahoe100_seed43_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_8eef9d10b2422397/seed_43/checkpoints/best-validation-rmse-epoch0004.ckpt	48	48	378	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/tahoe100/line_embeddings.npy	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/tahoe100/molecule_embeddings.npy	results/lpm_paper10_ft_morgan_learned_fixmol_best_embeddings/tahoe100/manifest.json	0	0
