code	checkpoint_code	symbol
0	462	10308088
1	557	103879928
2	650	1046050
3	661	10465922
4	920	10854155
5	1067	11149655
6	1424	1149650
7	2041	119099207
8	2054	119100014
9	2064	119100304
10	2066	119100856
11	2074	119101516
12	2075	119101582
13	2078	119101631
14	2092	119103559
15	2099	119103811
16	2103	119104049
17	2109	119104369
18	2113	119105000
19	2125	119105981
20	2127	119106374
21	2315	121017140
22	2316	121017149
23	2329	121017374
24	2333	121018209
25	2341	121019857
26	2347	121020668
27	2348	121020681
28	2353	121020757
29	2357	121020973
30	2364	121021229
31	2367	121021281
32	2369	121021521
33	2381	121022253
34	2391	121023390
35	2396	121052471
36	2398	121078552
37	2399	121079985
38	2404	121115890
39	2418	121160424
40	2435	121184353
41	2436	121184656
42	2443	121185662
43	2445	121187336
44	2446	121187391
45	2447	121187431
46	2448	121187434
47	2450	121190951
48	2451	121190967
49	2452	121191001
50	2458	121191979
51	2462	121198390
52	2464	121207174
53	2559	121605669
54	2560	121605675
55	2561	121605700
56	2592	122160505
57	2593	122160550
58	2605	122161741
59	2608	122161993
60	2609	122161995
61	2612	122162020
62	2647	122235844
63	2656	122243825
64	2661	122245104
65	2664	122245282
66	2666	122245297
67	2667	122245305
68	2670	122245618
69	2679	122246075
70	2689	122246865
71	2692	122263364
72	2694	122270229
73	2697	122276163
74	2701	122277377
75	2855	1237118
76	2917	1241477
77	2932	124203663
78	3082	126850246
79	3083	126850275
80	3084	126850302
81	3091	126851065
82	3093	126851205
83	3095	126851305
84	3098	126851534
85	3101	126851630
86	3106	126851857
87	3107	126851886
88	3108	126851923
89	3109	126851948
90	3110	126852029
91	3113	126852443
92	3115	126852861
93	3116	126852891
94	3121	126853334
95	3122	126853521
96	3129	126854022
97	3139	126854506
98	3140	126854518
99	3141	126854531
100	3142	126854533
101	3143	126854534
102	3150	126855146
103	3154	126855363
104	3158	126855409
105	3160	126855650
106	3167	126856481
107	3172	126857461
108	3174	126863435
109	3175	126864209
110	3188	126953647
111	3190	126953876
112	3197	126954494
113	3253	1277431
114	3275	1281336
115	3281	12841769
116	3370	129316092
117	3471	13144069
118	3494	131701340
119	3495	131701354
120	3498	131702356
121	3499	131702368
122	3500	131702371
123	3504	131702539
124	3506	131702711
125	3510	131703106
126	3519	131703636
127	3520	131703639
128	3524	131703782
129	3527	131703905
130	3529	131704028
131	3630	132371684
132	3632	132371787
133	3634	132372169
134	3635	132372179
135	3636	132372205
136	3644	132450673
137	3646	132450692
138	3649	132450975
139	3692	132964
140	3722	133313525
141	3756	134160394
142	3762	134160764
143	3765	134160955
144	3770	134161057
145	3773	134161947
146	3774	134162332
147	3775	134163304
148	3776	134163336
149	4160	135601519
150	4165	135656357
151	4171	135714293
152	4184	135752828
153	4400	137889462
154	4408	137890256
155	4411	137890763
156	4425	137916956
157	4426	137917178
158	4428	137917270
159	4430	137917413
160	4435	137936555
161	4436	137936557
162	4440	137936590
163	4452	137947120
164	4457	137947131
165	4459	137947136
166	4461	137947168
167	4463	137947212
168	4469	137947375
169	4471	137947437
170	4472	137947454
171	4473	137947508
172	4475	137947717
173	4478	137948169
174	4479	1379487
175	4480	137964876
176	4484	137966197
177	4488	137966367
178	4492	137967333
179	4493	137967492
180	4511	13825051
181	4589	13865088
182	4621	138988241
183	4624	138988314
184	4639	138988847
185	4646	138989103
186	4649	139022849
187	4655	139023009
188	4666	139027026
189	4677	139027842
190	4681	139028339
191	4690	139028368
192	4700	139028562
193	4703	139028799
194	4709	139029070
195	4712	139029110
196	4714	139029343
197	4719	139029448
198	4843	1404176
199	4984	145867951
200	4991	145868803
201	4992	145868805
202	4994	145868812
203	4995	145868813
204	4996	145868816
205	4997	145868817
206	4998	145868818
207	5000	145868855
208	5005	145875278
209	5019	145883371
210	5024	145883719
211	5029	145883950
212	5045	145914586
213	5048	145914649
214	5049	145914660
215	5050	145914691
216	5052	145914722
217	5053	145914757
218	5056	145914902
219	5059	145915007
220	5061	145915019
221	5063	145915165
222	5144	146074736
223	5147	146077862
224	5162	146078719
225	5168	146079170
226	5173	146079612
227	5174	146079663
228	5177	146079756
229	5181	146079974
230	5182	146080017
231	5183	146080071
232	5185	146080246
233	5268	1468340
234	5413	1526390
235	5480	154576014
236	5482	154576109
237	5485	154576368
238	5490	154580410
239	5491	154580411
240	5495	154581107
241	5498	154581349
242	5500	154581416
243	5501	154581522
244	5503	154581603
245	5507	154581946
246	5509	154582384
247	5510	154582399
248	5519	154583509
249	5520	154583640
250	5546	154828777
251	5566	154830589
252	5567	154830602
253	5568	154830622
254	5569	154830628
255	5570	154830646
256	5579	154853892
257	5585	154854434
258	5590	154881543
259	5591	154882576
260	5592	154882583
261	5594	154882837
262	5595	154882885
263	5601	154883615
264	5603	154883661
265	5604	154883668
266	5605	154883675
267	5609	154883916
268	5610	154883933
269	5612	154883995
270	5613	154884102
271	5614	154884136
272	5695	155798219
273	5696	155798221
274	5697	155798222
275	5698	155798223
276	5706	155798697
277	5708	155798736
278	5719	155800492
279	5726	155801212
280	5731	155801259
281	5754	155822037
282	5755	155823134
283	5758	155823242
284	5764	155896677
285	5768	155941197
286	5769	155941481
287	5770	155941539
288	5772	155941676
289	5773	155941678
290	5774	155941889
291	5775	155941910
292	5776	155942152
293	5777	155942263
294	5782	155942413
295	5785	155942740
296	5798	155973961
297	5800	155974080
298	5802	155974118
299	5803	155974244
300	5805	155974317
301	5806	155974319
302	5808	155974358
303	5809	155974362
304	5813	155974545
305	5815	155974616
306	5816	155974732
307	5819	155974859
308	5820	155974913
309	5822	155975236
310	5827	155975520
311	5830	155975865
312	5832	155975932
313	5835	155975974
314	5871	155980400
315	5875	155981056
316	5879	155981480
317	5900	156006560
318	5901	156006571
319	5902	156006581
320	5903	156006585
321	5904	156006629
322	5906	156006801
323	5911	156006952
324	5915	156007026
325	5920	156007102
326	5944	156008359
327	5981	1565234
328	6135	16032197
329	6365	16241230
330	6389	16269006
331	6390	16270084
332	6453	16433273
333	6455	16439111
334	6463	16451111
335	6466	16451953
336	6467	16451998
337	6470	16456039
338	6472	16456221
339	6473	16456271
340	6474	16456888
341	6475	16456952
342	6481	16463024
343	6486	16474893
344	6488	16478156
345	6501	16524031
346	6506	1653586
347	6523	16620620
348	6525	16626520
349	6533	16646232
350	6534	16646328
351	6535	16646333
352	6536	16646429
353	6537	16646582
354	6538	16647281
355	6688	16761664
356	6703	16798147
357	6705	16798792
358	6706	16799829
359	6707	16799838
360	6708	16799862
361	6709	16800108
362	6711	16800240
363	6723	16801647
364	6724	16802811
365	6725	16803075
366	6726	16803506
367	6727	16803515
368	6728	16803522
369	6729	16803523
370	6730	16803532
371	6731	16803535
372	6732	16803544
373	6733	16803546
374	6734	16803620
375	6737	16805198
376	6738	16805318
377	6739	16805459
378	6740	16805541
379	6742	16806881
380	6746	16807163
381	6748	16807248
382	6749	16807840
383	6750	16809429
384	6751	16809440
385	6752	16810059
386	6753	16810123
387	6754	16811045
388	6759	16812567
389	6760	16812629
390	6761	16812712
391	6762	16813085
392	6763	16813403
393	6764	16813431
394	6765	16813516
395	6768	16816356
396	6771	16820859
397	6772	16821369
398	6774	16822382
399	6775	16822461
400	6776	16822503
401	6777	16822750
402	6778	16823582
403	6779	16823685
404	6782	16826980
405	6783	16827077
406	6784	16827089
407	6785	16830459
408	6797	16832243
409	6800	16832717
410	6801	16833159
411	6802	16835893
412	6803	16836095
413	6804	16837038
414	6805	16837224
415	6811	16845223
416	6813	16849795
417	6816	16861146
418	6817	16861185
419	6818	16861288
420	6820	16861857
421	6821	16863935
422	6822	16864016
423	6823	16867769
424	6825	16874696
425	6826	16874699
426	6827	16874713
427	6829	16877039
428	6833	16881090
429	6834	16881108
430	6836	16881296
431	6837	16881348
432	6838	16881352
433	6839	16881408
434	6841	16881577
435	6842	16881590
436	6843	16881936
437	6844	16882856
438	6846	16884152
439	6847	16884197
440	6848	16884356
441	6849	16884394
442	6851	16885787
443	6854	16887803
444	6856	16892392
445	6858	16892453
446	6859	16892464
447	6861	16892503
448	6862	16892504
449	6864	16892595
450	6867	16892846
451	6873	16895290
452	6874	16895594
453	6875	16895632
454	6876	16895666
455	6878	16896863
456	6880	16901202
457	6885	16916875
458	6886	16916883
459	6887	16918809
460	6888	16919410
461	6889	16920344
462	6890	16921408
463	6891	16922589
464	6896	16926891
465	6897	16926923
466	6898	16926927
467	6899	16930212
468	6900	16930770
469	6903	16943568
470	6904	16943614
471	6905	16943630
472	6906	16943645
473	6908	16948175
474	6910	16950050
475	6912	16951818
476	6916	16955527
477	6917	16955744
478	6919	16956664
479	6920	16957349
480	6921	16957378
481	6923	16958249
482	6932	17015017
483	6933	17015876
484	6935	17016606
485	6936	17017290
486	6939	17027837
487	6951	17129641
488	6958	17139044
489	7009	17495706
490	7014	17527347
491	7015	17527353
492	7030	17586727
493	7033	17603669
494	7066	17720750
495	7067	17720774
496	7078	17749772
497	7149	17998841
498	7212	1846631
499	7218	1850275
500	7237	18559440
501	7241	18562178
502	7242	18562196
503	7245	18567945
504	7246	18567949
505	7247	18568256
506	7248	18568286
507	7249	18568426
508	7250	18568435
509	7251	18568515
510	7252	18568954
511	7253	18569170
512	7254	18569215
513	7255	18569968
514	7256	18570771
515	7257	18571774
516	7258	18571822
517	7259	18571842
518	7260	18572153
519	7261	18572154
520	7262	18572160
521	7263	18572224
522	7264	18572694
523	7265	18573448
524	7266	18573668
525	7267	18573670
526	7268	18573819
527	7269	18574561
528	7270	18574617
529	7272	18575020
530	7273	18575410
531	7274	18575415
532	7275	18575416
533	7276	18575462
534	7277	18575558
535	7278	18575567
536	7279	18575798
537	7280	18575802
538	7281	18576579
539	7283	18576694
540	7284	18578165
541	7285	18578200
542	7287	18578536
543	7288	18578568
544	7290	18579415
545	7291	18579938
546	7292	18580035
547	7294	18580743
548	7295	18581005
549	7296	18581263
550	7297	18581408
551	7299	18582772
552	7300	18582799
553	7301	18583024
554	7302	18583268
555	7303	18583503
556	7304	18584517
557	7305	18584528
558	7306	18584722
559	7309	18585606
560	7318	18585822
561	7323	18586804
562	7334	18588197
563	7335	18588202
564	7348	18589086
565	7351	18589636
566	7352	18590737
567	7355	18593413
568	7356	18593543
569	7375	1875843
570	7475	1955227
571	7478	19585410
572	7490	19683508
573	7678	20895221
574	7680	20896318
575	7685	20902552
576	7686	20902664
577	7691	20921261
578	7695	20933407
579	7704	2100681
580	7764	2135126
581	7770	2136911
582	7790	2145555
583	7794	2146629
584	7797	2147167
585	7798	2147605
586	7802	2149964
587	7803	2149971
588	7804	2150003
589	7805	2150803
590	7954	2194228
591	7972	2200048
592	7998	2214828
593	8048	22359914
594	8063	22423174
595	8064	22423181
596	8070	22423282
597	8076	22425395
598	8077	22429984
599	8078	22431127
600	8093	22518493
601	8107	22584871
602	8263	235913
603	8615	23966941
604	8628	23992675
605	8665	24156117
606	8679	24219682
607	8682	24254394
608	8690	24312686
609	8692	24324063
610	9115	25040886
611	9371	25248884
612	9372	25251868
613	9373	25251897
614	9393	25285192
615	9395	25285464
616	9396	25285466
617	9432	25668552
618	9440	25817984
619	9443	25840269
620	9444	25841041
621	9445	25849838
622	9447	25855079
623	9448	25855287
624	9449	25855298
625	9451	25855361
626	9454	25861134
627	9455	25861242
628	9457	25861265
629	9458	25861377
630	9459	25862080
631	9462	25862191
632	9468	25881827
633	9469	25884379
634	9470	25884778
635	9472	25887234
636	9473	25893140
637	9475	25893206
638	9477	25893416
639	9478	25893426
640	9479	25893482
641	9481	25893572
642	9646	27370382
643	9647	27370781
644	9648	27370822
645	9649	27372569
646	9675	27397403
647	9683	27421152
648	9687	27443698
649	9690	27452440
650	9702	27505138
651	9714	27558145
652	9718	27564442
653	9719	27567831
654	9742	27638718
655	9763	2769748
656	9786	2771118
657	9858	28063461
658	9906	2824269
659	9923	28343266
660	9945	2843346
661	9949	2848779
662	9951	2850317
663	9994	28775027
664	9998	2878881
665	10011	28864552
666	10027	2894646
667	10091	2946603
668	10097	2948626
669	10099	2949796
670	10126	2963666
671	10133	2968415
672	10147	2979668
673	10156	2986579
674	10299	30372445
675	10302	30375469
676	10306	30375919
677	10325	30463487
678	10326	30463642
679	10330	30484352
680	10344	30607348
681	10355	30675300
682	10407	30848797
683	10408	30848802
684	10439	30864679
685	10444	30865608
686	10450	30866778
687	10452	30866826
688	10454	30868675
689	10456	30868907
690	10510	3124031
691	10511	3124041
692	10559	3157412
693	10561	3158599
694	10563	3160777
695	10567	3163793
696	10638	3240563
697	10643	3242373
698	10661	3250798
699	10672	3268713
700	10725	3317568
701	10743	3334665
702	10751	3340009
703	10761	3349313
704	10785	33680213
705	10786	33702614
706	10787	33702619
707	10891	3485308
708	11010	3629317
709	11047	3658357
710	11121	3742196
711	11233	38779334
712	11234	38779456
713	11235	38779478
714	11236	38779733
715	11240	3884215
716	11245	3891306
717	11255	3902
718	11397	40509251
719	11398	40509284
720	11423	4066047
721	11447	40869229
722	11448	40887054
723	11458	40947385
724	11459	40947552
725	11480	41109048
726	11481	41109128
727	11492	41159064
728	11493	41160017
729	11499	4121061
730	11504	41230469
731	11505	41231170
732	11506	41231486
733	11507	41241443
734	11508	41244576
735	11517	41340531
736	11518	41340572
737	11521	4137130
738	11532	41475433
739	11533	41475981
740	11545	41613046
741	11548	4163590
742	11550	4164883
743	11588	4199248
744	11594	42065579
745	11601	42100975
746	11602	42108680
747	11603	42109406
748	11604	42109418
749	11605	42109500
750	11609	42111641
751	11617	42138397
752	11618	42138500
753	11619	42139581
754	11627	42173091
755	11629	42173094
756	11634	42173530
757	11651	42224406
758	11662	42266713
759	11670	42267226
760	11672	42267336
761	11674	42269997
762	11698	4245345
763	11701	42477754
764	11704	4249718
765	11712	42585406
766	11713	42587477
767	11714	42587518
768	11715	42590203
769	11788	4292902
770	11789	42942825
771	11837	43514793
772	11847	4362439
773	11868	43841636
774	11869	43841640
775	11870	43845159
776	11904	43937083
777	11923	43970280
778	11925	43971152
779	11929	43978142
780	11930	43982892
781	11934	43993997
782	11935	43995175
783	11936	43995226
784	11937	43995236
785	11943	44005175
786	11948	44013981
787	11949	44016051
788	11950	44017389
789	11954	44044800
790	11955	44045244
791	11958	44047342
792	11962	44054574
793	11963	44054576
794	11964	44054579
795	11974	44059707
796	11979	44063577
797	11981	44064156
798	11986	44069704
799	11987	44069734
800	11991	44071910
801	11992	44072339
802	11995	44072654
803	11997	44072783
804	11998	44072886
805	11999	44072887
806	12001	44072933
807	12002	44072963
808	12003	44072965
809	12005	44073041
810	12006	44073082
811	12008	44086260
812	12011	44088722
813	12012	44089262
814	12030	44116354
815	12031	44116586
816	12032	44116828
817	12033	44117676
818	12034	44117839
819	15026	4461026
820	15400	44669135
821	15418	4474466
822	15424	44787245
823	15462	44827333
824	15472	4484230
825	15484	44891731
826	15487	44900266
827	15497	44919463
828	15503	44933519
829	15512	44961371
830	15513	44961393
831	15538	45075211
832	15574	4519516
833	15597	45283564
834	15598	45283769
835	15599	45283867
836	15600	45283868
837	15601	45283869
838	15605	45283882
839	15606	45283886
840	15607	45283892
841	15608	45283894
842	15610	45284153
843	15642	45453037
844	15666	45497255
845	15667	45497314
846	15669	45497597
847	15670	45498022
848	15671	45498033
849	15672	45498046
850	15675	45499127
851	15676	45499581
852	15678	45501006
853	15679	45501017
854	15680	45501471
855	15684	45502442
856	15685	45502506
857	15687	45502525
858	15689	45502592
859	15690	45502788
860	15691	45502815
861	15692	45502853
862	15693	45503124
863	15694	45503131
864	15695	45503477
865	15696	45503540
866	15697	45503877
867	15698	45503885
868	15699	45503922
869	15700	45503941
870	15701	45504381
871	15702	45504486
872	15703	45504493
873	15704	45504495
874	15705	45504771
875	15706	45504794
876	15707	45504865
877	15708	45504907
878	15709	45504973
879	15710	45505299
880	15711	45506711
881	15712	45509521
882	15714	45517996
883	15723	45549669
884	15724	45552954
885	15725	45557994
886	15726	45560344
887	15728	45576816
888	15729	45579782
889	15731	45581088
890	15732	45582270
891	15733	45583866
892	15734	45584126
893	15735	45587926
894	15760	4582369
895	15777	4593938
896	15798	4609215
897	15904	46271614
898	15909	46318922
899	15916	46369031
900	15917	46369745
901	15918	46369792
902	15919	46370268
903	15920	46377125
904	15921	46393613
905	15922	46393651
906	15923	46396824
907	15924	46397690
908	15930	4646078
909	15966	46741398
910	15972	4674980
911	15984	46784067
912	16182	46921271
913	16255	47071490
914	16266	47190378
915	16289	4749703
916	16290	4749746
917	16323	47856607
918	16393	4896729
919	16398	4902849
920	16399	4903245
921	16402	4904691
922	16407	4908426
923	16412	4912232
924	16421	4921093
925	16444	49657967
926	16445	49658563
927	16446	49658716
928	16448	49661032
929	16449	49661931
930	16450	49663250
931	16451	49664088
932	16452	49664101
933	16453	49664110
934	16454	49665462
935	16455	49665557
936	16456	49667755
937	16457	49668697
938	16458	49668769
939	16459	49668924
940	16460	49669001
941	16461	49669033
942	16462	49669035
943	16467	49669466
944	16468	49669527
945	16469	49669552
946	16470	49669634
947	16471	49669663
948	16472	49669670
949	16473	49669740
950	16474	49670091
951	16477	49671243
952	16478	49671329
953	16480	49671786
954	16484	49673085
955	16486	49673707
956	16487	49673854
957	16488	49674067
958	16489	49674109
959	16490	49674246
960	16491	49674299
961	16492	49674330
962	16493	49675283
963	16494	49675426
964	16497	49676215
965	16498	49676713
966	16499	49676760
967	16500	49676762
968	16501	49676915
969	16502	49676986
970	16503	49676989
971	16504	49677136
972	16505	49677220
973	16506	49677221
974	16507	49677308
975	16508	49677386
976	16509	49677397
977	16510	49677403
978	16511	49677408
979	16513	49677414
980	16514	49677463
981	16515	49677547
982	16516	49677548
983	16517	49677647
984	16518	49677670
985	16519	49677680
986	16520	49677688
987	16521	49677696
988	16522	49677854
989	16523	49677898
990	16524	49677905
991	16527	49678067
992	16528	49678232
993	16529	49679191
994	16530	49679310
995	16531	49685690
996	16532	49685722
997	16533	49685776
998	16535	49687548
999	16543	49690838
1000	16544	49690877
1001	16547	49692975
1002	16550	49693153
1003	16551	49693162
1004	16553	49694718
1005	16558	49701366
1006	16559	49702451
1007	16560	49706871
1008	16561	49708457
1009	16562	49708773
1010	16564	49710818
1011	16565	49715102
1012	16567	49721957
1013	16568	49722796
1014	16569	49722801
1015	16570	49724794
1016	16571	49736200
1017	16572	49736257
1018	16573	49738130
1019	16574	49755599
1020	16577	4976298
1021	16623	49813182
1022	16775	5004016
1023	16787	5014327
1024	16839	50743315
1025	16842	50765789
1026	16843	50768567
1027	16844	50775408
1028	16847	50784885
1029	16848	50785218
1030	16849	50786224
1031	16853	50806531
1032	16854	50806638
1033	16858	50816164
1034	16989	5117168
1035	17025	5139252
1036	17038	5147618
1037	17044	5156856
1038	17051	5164054
1039	17080	5201080
1040	17090	5213500
1041	17114	52416941
1042	17115	52417074
1043	17116	52417254
1044	17117	52417310
1045	17118	52417320
1046	17119	52417328
1047	17125	52556397
1048	17504	5285734
1049	17540	52903895
1050	17542	52904180
1051	17544	52906493
1052	17545	52906549
1053	17546	52906775
1054	17547	52907538
1055	17548	52907559
1056	17549	52907897
1057	17550	52907998
1058	17551	52908028
1059	17552	52908068
1060	17594	52983474
1061	17597	52992893
1062	17606	53058425
1063	17607	53061225
1064	17619	53109070
1065	17621	53109501
1066	17725	53162607
1067	17729	53164505
1068	17832	53210614
1069	17953	53332320
1070	17955	53332378
1071	18127	53469875
1072	18308	54028116
1073	18380	54594214
1074	27806	54677261
1075	28060	559911
1076	28083	5641703
1077	28170	56724014
1078	28171	56724106
1079	28172	56724125
1080	28173	56724149
1081	28174	56724344
1082	28175	56724467
1083	28176	56724688
1084	28178	56724942
1085	28182	56763884
1086	28184	56764108
1087	28185	56764130
1088	28186	56764526
1089	28187	56764543
1090	28188	56764550
1091	28189	56764724
1092	28190	56764818
1093	28191	56764856
1094	28192	56764857
1095	28193	56764858
1096	28200	56766038
1097	28205	56771527
1098	28211	56831027
1099	28548	56951739
1100	31404	624178
1101	31551	63762985
1102	31870	6490596
1103	31871	6491150
1104	31874	6493193
1105	31899	6504209
1106	31914	65072194
1107	32230	66211841
1108	32242	662644
1109	32262	66485848
1110	32268	66510171
1111	32291	665671
1112	32341	667088
1113	32346	667194
1114	32968	693277
1115	33003	698648
1116	33202	71086762
1117	33246	71250820
1118	33284	71308050
1119	33369	7150785
1120	33373	7151038
1121	33374	7151288
1122	33487	7162153
1123	33490	7162585
1124	33496	71641424
1125	33522	71683862
1126	33524	71688001
1127	33656	717711
1128	33668	71778653
1129	33672	71778741
1130	33673	71778852
1131	33674	71779148
1132	33675	71779386
1133	33676	71779395
1134	33677	71779446
1135	33679	71779595
1136	33680	71779602
1137	33681	71779648
1138	33682	71779657
1139	33683	71779667
1140	33684	71779693
1141	33695	71780691
1142	33696	71780853
1143	33697	71780868
1144	33698	71780974
1145	33700	71781116
1146	33701	71781142
1147	33702	7178162
1148	33703	71781824
1149	33704	71782070
1150	33705	71782224
1151	33706	71782260
1152	33707	71782785
1153	33708	71782788
1154	33709	71782791
1155	33710	71782840
1156	33711	71782842
1157	33712	71782846
1158	33713	71782850
1159	33714	71783035
1160	33715	71783099
1161	33718	71783137
1162	33719	71783144
1163	33720	71783265
1164	33722	71783308
