dataset_slug	dataset	all_val_rmse_mean	all_val_rmse_std	all_val_n	all_test_rmse_mean	all_test_rmse_std	all_test_n	all_val_rmse_mean_std	all_test_rmse_mean_std	finetune_frozen_mol_val_rmse_mean	finetune_frozen_mol_val_rmse_std	finetune_frozen_mol_val_n	finetune_frozen_mol_test_rmse_mean	finetune_frozen_mol_test_rmse_std	finetune_frozen_mol_test_n	finetune_frozen_mol_val_rmse_mean_std	finetune_frozen_mol_test_rmse_mean_std	scratch_target_only_val_rmse_mean	scratch_target_only_val_rmse_std	scratch_target_only_val_n	scratch_target_only_test_rmse_mean	scratch_target_only_test_rmse_std	scratch_target_only_test_n	scratch_target_only_val_rmse_mean_std	scratch_target_only_test_rmse_mean_std	all_morgan_fixed_val_rmse_mean	all_morgan_fixed_val_rmse_std	all_morgan_fixed_val_n	all_morgan_fixed_test_rmse_mean	all_morgan_fixed_test_rmse_std	all_morgan_fixed_test_n	all_morgan_fixed_val_rmse_mean_std	all_morgan_fixed_test_rmse_mean_std	finetune_morgan_fixed_val_rmse_mean	finetune_morgan_fixed_val_rmse_std	finetune_morgan_fixed_val_n	finetune_morgan_fixed_test_rmse_mean	finetune_morgan_fixed_test_rmse_std	finetune_morgan_fixed_test_n	finetune_morgan_fixed_val_rmse_mean_std	finetune_morgan_fixed_test_rmse_mean_std	scratch_morgan_fixed_val_rmse_mean	scratch_morgan_fixed_val_rmse_std	scratch_morgan_fixed_val_n	scratch_morgan_fixed_test_rmse_mean	scratch_morgan_fixed_test_rmse_std	scratch_morgan_fixed_test_n	scratch_morgan_fixed_val_rmse_mean_std	scratch_morgan_fixed_test_rmse_mean_std	all_morgan_learned_val_rmse_mean	all_morgan_learned_val_rmse_std	all_morgan_learned_val_n	all_morgan_learned_test_rmse_mean	all_morgan_learned_test_rmse_std	all_morgan_learned_test_n	all_morgan_learned_val_rmse_mean_std	all_morgan_learned_test_rmse_mean_std	finetune_morgan_learned_fixmol_val_rmse_mean	finetune_morgan_learned_fixmol_val_rmse_std	finetune_morgan_learned_fixmol_val_n	finetune_morgan_learned_fixmol_test_rmse_mean	finetune_morgan_learned_fixmol_test_rmse_std	finetune_morgan_learned_fixmol_test_n	finetune_morgan_learned_fixmol_val_rmse_mean_std	finetune_morgan_learned_fixmol_test_rmse_mean_std
cigs_mce	CIGS MCE	0.57648748	0.00093949	10	0.57613481	0.00074780	10	0.5765 +/- 0.0009 (n=10)	0.5761 +/- 0.0007 (n=10)	0.58577989	0.00027261	10	0.57836000	0.00189573	10	0.5858 +/- 0.0003 (n=10)	0.5784 +/- 0.0019 (n=10)	0.58728748	0.00019898	10	0.57138000	0.00195266	10	0.5873 +/- 0.0002 (n=10)	0.5714 +/- 0.0020 (n=10)			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA
cigs_tcm	CIGS TCM	0.42481707	0.00021212	10	0.40815102	0.00027537	10	0.4248 +/- 0.0002 (n=10)	0.4082 +/- 0.0003 (n=10)	0.44726451	0.00006322	10	0.40768000	0.00010328	10	0.4473 +/- 0.0001 (n=10)	0.4077 +/- 0.0001 (n=10)	0.44853301	0.00014295	10	0.40805000	0.00025495	10	0.4485 +/- 0.0001 (n=10)	0.4081 +/- 0.0003 (n=10)			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA
dilimap_train	dilimap_train	0.62372839	0.03202052	10	0.66402451	0.03769479	10	0.6237 +/- 0.0320 (n=10)	0.6640 +/- 0.0377 (n=10)	0.58458353	0.00083198	10	0.60903000	0.00153482	10	0.5846 +/- 0.0008 (n=10)	0.6090 +/- 0.0015 (n=10)	0.58291655	0.00190779	10	0.60953000	0.00136386	10	0.5829 +/- 0.0019 (n=10)	0.6095 +/- 0.0014 (n=10)			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA
gdpx2	Ginkgo GDPx2	0.57122023	0.00631860	10	0.43918326	0.00266660	10	0.5712 +/- 0.0063 (n=10)	0.4392 +/- 0.0027 (n=10)	0.55960648	0.00470635	10	0.44309000	0.00356945	10	0.5596 +/- 0.0047 (n=10)	0.4431 +/- 0.0036 (n=10)	0.57251511	0.00270243	10	0.43307000	0.00306306	10	0.5725 +/- 0.0027 (n=10)	0.4331 +/- 0.0031 (n=10)			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA
lincs_phase1	LINCS_phase1_level3_epsilon	0.61566095	0.00101945	10	0.62836840	0.00101253	10	0.6157 +/- 0.0010 (n=10)	0.6284 +/- 0.0010 (n=10)	0.60660233	0.00060964	10	0.62306000	0.00030984	10	0.6066 +/- 0.0006 (n=10)	0.6231 +/- 0.0003 (n=10)	0.61918092	0.00081485	10	0.63260000	0.00138163	10	0.6192 +/- 0.0008 (n=10)	0.6326 +/- 0.0014 (n=10)			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA
lincs_phase2	LINCS_phase2_level3	0.48321021	0.00099458	10	0.48494809	0.00142479	10	0.4832 +/- 0.0010 (n=10)	0.4849 +/- 0.0014 (n=10)	0.46493323	0.00030408	10	0.48303000	0.00060009	10	0.4649 +/- 0.0003 (n=10)	0.4830 +/- 0.0006 (n=10)	0.47255334	0.00034662	10	0.48857000	0.00037431	10	0.4726 +/- 0.0003 (n=10)	0.4886 +/- 0.0004 (n=10)			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA
novartis	Novartis MoABox DRUG-seq	0.68983294	0.00033015	10	0.55571408	0.00040819	10	0.6898 +/- 0.0003 (n=10)	0.5557 +/- 0.0004 (n=10)	0.67428855	0.00095535	10	0.53939000	0.00059339	10	0.6743 +/- 0.0010 (n=10)	0.5394 +/- 0.0006 (n=10)	0.67812264	0.00065843	10	0.54082000	0.00056332	10	0.6781 +/- 0.0007 (n=10)	0.5408 +/- 0.0006 (n=10)			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA
op3	op3	0.39996661	0.00143996	10	0.35716190	0.00092361	10	0.4000 +/- 0.0014 (n=10)	0.3572 +/- 0.0009 (n=10)	0.41900080	0.00132099	10	0.34813000	0.00191430	10	0.4190 +/- 0.0013 (n=10)	0.3481 +/- 0.0019 (n=10)	0.41577861	0.00336670	10	0.34781000	0.00106087	10	0.4158 +/- 0.0034 (n=10)	0.3478 +/- 0.0011 (n=10)			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA
sciplex	srivatsan20_sciplex3	0.65692014	0.00145458	10	0.68411654	0.00270005	10	0.6569 +/- 0.0015 (n=10)	0.6841 +/- 0.0027 (n=10)	0.71180396	0.00124000	10	0.68956000	0.00147739	10	0.7118 +/- 0.0012 (n=10)	0.6896 +/- 0.0015 (n=10)	0.71560647	0.00115354	10	0.68454000	0.00056608	10	0.7156 +/- 0.0012 (n=10)	0.6845 +/- 0.0006 (n=10)			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA
tahoe100	tahoe100	0.74685684	0.00123837	10	0.73827298	0.00255694	10	0.7469 +/- 0.0012 (n=10)	0.7383 +/- 0.0026 (n=10)	0.74455128	0.00086972	10	0.74306000	0.00119648	10	0.7446 +/- 0.0009 (n=10)	0.7431 +/- 0.0012 (n=10)	0.74470042	0.00023441	10	0.73803000	0.00039172	10	0.7447 +/- 0.0002 (n=10)	0.7380 +/- 0.0004 (n=10)			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA			0			0	NA	NA
