model_family	seed	dataset_slug	dataset	config_id	gpus	source_count	job_id
all_datasets	13	all	all	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	2	167	36730536
scratch_target_only	13	cigs_mce	CIGS MCE	lpm_paper10_scratch_cigs_mce_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	36730537
scratch_target_only	13	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	36730538
scratch_target_only	13	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed13_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730539
scratch_target_only	13	gdpx2	Ginkgo GDPx2	lpm_paper10_scratch_gdpx2_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	36730540
scratch_target_only	13	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_scratch_lincs_phase1_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	2	70	36730541
scratch_target_only	13	lincs_phase2	LINCS_phase2_level3	lpm_paper10_scratch_lincs_phase2_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	2	30	36730542
scratch_target_only	13	novartis	Novartis MoABox DRUG-seq	lpm_paper10_scratch_novartis_seed13_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730543
scratch_target_only	13	op3	op3	lpm_paper10_scratch_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	36730544
scratch_target_only	13	sciplex	srivatsan20_sciplex3	lpm_paper10_scratch_sciplex_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	2	3	36730545
scratch_target_only	13	tahoe100	tahoe100	lpm_paper10_scratch_tahoe100_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	2	48	36730546
scratch_target_only	13	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_scratch_vcpi_0001_seed13_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730547
scratch_target_only	13	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_scratch_vcpi_0002_seed13_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730548
all_datasets	17	all	all	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	167	36730549
scratch_target_only	17	cigs_mce	CIGS MCE	lpm_paper10_scratch_cigs_mce_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	36730550
scratch_target_only	17	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	36730551
scratch_target_only	17	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed17_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730552
scratch_target_only	17	gdpx2	Ginkgo GDPx2	lpm_paper10_scratch_gdpx2_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	36730553
scratch_target_only	17	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_scratch_lincs_phase1_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	70	36730554
scratch_target_only	17	lincs_phase2	LINCS_phase2_level3	lpm_paper10_scratch_lincs_phase2_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	30	36730555
scratch_target_only	17	novartis	Novartis MoABox DRUG-seq	lpm_paper10_scratch_novartis_seed17_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730556
scratch_target_only	17	op3	op3	lpm_paper10_scratch_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	36730557
scratch_target_only	17	sciplex	srivatsan20_sciplex3	lpm_paper10_scratch_sciplex_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	3	36730558
scratch_target_only	17	tahoe100	tahoe100	lpm_paper10_scratch_tahoe100_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	48	36730559
scratch_target_only	17	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_scratch_vcpi_0001_seed17_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730560
scratch_target_only	17	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_scratch_vcpi_0002_seed17_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730561
all_datasets	19	all	all	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	167	36730563
scratch_target_only	19	cigs_mce	CIGS MCE	lpm_paper10_scratch_cigs_mce_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	36730564
scratch_target_only	19	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	36730565
scratch_target_only	19	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed19_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730566
scratch_target_only	19	gdpx2	Ginkgo GDPx2	lpm_paper10_scratch_gdpx2_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	36730567
scratch_target_only	19	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_scratch_lincs_phase1_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	70	36730568
scratch_target_only	19	lincs_phase2	LINCS_phase2_level3	lpm_paper10_scratch_lincs_phase2_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	30	36730569
scratch_target_only	19	novartis	Novartis MoABox DRUG-seq	lpm_paper10_scratch_novartis_seed19_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730570
scratch_target_only	19	op3	op3	lpm_paper10_scratch_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	36730571
scratch_target_only	19	sciplex	srivatsan20_sciplex3	lpm_paper10_scratch_sciplex_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	3	36730572
scratch_target_only	19	tahoe100	tahoe100	lpm_paper10_scratch_tahoe100_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	48	36730573
scratch_target_only	19	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_scratch_vcpi_0001_seed19_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730574
scratch_target_only	19	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_scratch_vcpi_0002_seed19_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730575
all_datasets	23	all	all	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	167	36730576
scratch_target_only	23	cigs_mce	CIGS MCE	lpm_paper10_scratch_cigs_mce_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	36730577
scratch_target_only	23	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	36730578
scratch_target_only	23	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed23_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730579
scratch_target_only	23	gdpx2	Ginkgo GDPx2	lpm_paper10_scratch_gdpx2_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	36730580
